Course Label,Name,CH,Tags
CSCE 473,Computer Vision,3,"computer science, computer vision, artificial intelligence, image processing"
CSCE 476,Introduction to Artificial Intelligence,3,"computer science, artificial intelligence, machine learning, ai"
CSCE 480H,Honors: Generative AI,3,"computer science, honors, generative ai, artificial intelligence"
CSCE 484,Data Science Professional Development,3,"computer science, data science, professional development, career"
CSCE 492H,Honors: Special Topics,3,"computer science, honors, special topics, advanced"
CSCE 811,Data Modeling and Systems Development,3,"computer science, graduate, data modeling, databases"
CSCE 813,Database Systems,3,"computer science, graduate, databases, sql, systems"
CSCE 815,Computational Linguistics,3,"computer science, graduate, linguistics, nlp"
CSCE 822,Introduction to Game Theory,3,"computer science, graduate, game theory, algorithms"
CSCE 825,Compiler Construction,3,"computer science, graduate, compilers, programming languages"
CSCE 828,"Automata, Computation, and Formal Languages",3,"computer science, graduate, automata, theory, logic"
CSCE 838,Internet of Things,3,"computer engineering, graduate, iot, networks, hardware"
CSCE 840,Numerical Analysis I,3,"computer science, graduate, numerical analysis, math"
CSCE 843,Cybersecurity: Big Data and Cloud,3,"computer science, graduate, cybersecurity, big data, cloud"
CSCE 854,Human-Robot Interaction,3,"computer science, graduate, robotics, hci"
CSCE 858,Molecular and Nano Communication,3,"computer engineering, graduate, nanotechnology, networks"
CSCE 865,Wireless Communication Networks,3,"computer engineering, graduate, wireless, networks"
CSCE 867,"Testing, Verification and Analysis",3,"computer science, graduate, software testing, quality assurance"
CSCE 869,Secure Software Engineering,3,"computer science, graduate, secure software, cybersecurity"
CSCE 871,Computational Methods in Bioinformatics,3,"computer science, graduate, bioinformatics, biology"
CSCE 873,Computer Vision,3,"computer science, graduate, computer vision, artificial intelligence"
CSCE 876,Introduction to Artificial Intelligence,3,"computer science, graduate, artificial intelligence, ai"
CSCE 877,Cryptography and Security,3,"computer science, graduate, cryptography, security, cybersecurity"
CSCE 880,Honors: Generative AI,3,"computer science, honors, graduate, generative ai, artificial intelligence"
CSCE 99,Graduate Seminar,3,"computer science, graduate, seminar, computing"
CSCE 892,Special Topics,3,"computer science, graduate, special topics, advanced"
CSCE 923,Design and Analysis of Algorithms,3,"computer science, doctoral, algorithms, design, analysis"
CSCE 953,Optical Communication Networks,3,"computer engineering, doctoral, networks, communications"
CSCE 990,Seminar: Multi-Access Edge Computing,3,"computer science, doctoral, seminar, edge computing, networks"
CSCE 990,Seminar: Robotics Today,3,"computer science, doctoral, seminar, robotics, artificial intelligence"
RAIK 10,Freshman Seminar,3,"raikes, freshman, seminar, computing"
RAIK 40,Professional and Life Skills,3,"raikes, professional development, career, computing"
RAIK 163H,Honors: Innovation Processes and Software Engineering,3,"raikes, honors, software engineering, innovation"
RAIK 183H,Honors: Computer Problems,3,"raikes, honors, problem solving, computing"
RAIK 270H,Honors: Statistics and Applications,3,"raikes, honors, statistics, math, applications"
RAIK 283H,Honors: Software Engineering III,3,"raikes, honors, software engineering, computing"
RAIK 341H,Honors: Marketing,3,"raikes, honors, marketing, business"
RAIK 401H,Honors: Design Studio I,3,"raikes, honors, design studio, project, computing"
RAIK 403H,Honors: Design Studio III,3,"raikes, honors, design studio, project, computing"
SOFT 160,Software Engineering I,3,"software engineering, computing, development"
SOFT 260,Software Engineering III,3,"software engineering, computing, development"
SOFT 360,Mentoring and Leadership,3,"software engineering, mentoring, leadership, professional"
SOFT 403H,Honors: Software Engineering Capstone I,3,"software engineering, honors, capstone, project"
SOFT 467,Testing Verification and Analysis,3,"software engineering, testing, quality assurance"
SOFT 469,Secure Software Engineering,3,"software engineering, cybersecurity, secure software"
